Election,Department,Year,Candidate Name,Party,First Round Total Votes,1st Round Percentage of votes,2nd Round Total Votes,2nd Round Percentage of votes,,
LEGISLATIVE ELECTION Senate,NIPPES,AUGUST AND OCTOBER 2015,Jean-William Jeanty,Kontrapepla,"11,268",11.7,"19,940",19.3,,
LEGISLATIVE ELECTION Senate,NIPPES,AUGUST AND OCTOBER 2015,Dieusseul Arice,Renmen Ayiti,"8,029",8.4,,,,
LEGISLATIVE ELECTION Senate,NIPPES,AUGUST AND OCTOBER 2015,Michelet Casimir,Pitit Dessalines,"7,888",8.2,,,,
LEGISLATIVE ELECTION Senate,NIPPES,AUGUST AND OCTOBER 2015,10 others,,,,,,,
LEGISLATIVE ELECTION Senate,NIPPES,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION Senate,NORD,AUGUST AND OCTOBER 2015,Nawoon Marcellus,Bouclier,"49,560",22.7,,,,
LEGISLATIVE ELECTION Senate,NORD,AUGUST AND OCTOBER 2015,Dieudonne Etienne Luma,PHTK,"38,447",17.6,,,,
LEGISLATIVE ELECTION Senate,NORD,AUGUST AND OCTOBER 2015,Kely C Bastien,Verite,"24,306",11.2,,,,
LEGISLATIVE ELECTION Senate,NORD,AUGUST AND OCTOBER 2015,Justin Metelus,Bouclier,"18,237",8.4,,,,
LEGISLATIVE ELECTION Senate,NORD,AUGUST AND OCTOBER 2015,Theodore Saintilus,Pitit Dessalines,"13,891",6.4,,,,
LEGISLATIVE ELECTION Senate,NORD,AUGUST AND OCTOBER 2015,30 others,,,,,,,
LEGISLATIVE ELECTION Senate,NORD,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION Senate,NORD EST,AUGUST AND OCTOBER 2015,RONALD LARECHE,Verite,"30,490",28.1,"52,020",39.4,,
LEGISLATIVE ELECTION Senate,NORD EST,AUGUST AND OCTOBER 2015,JACQUES SAUVEUR JEAN,PHTK,"19,040",17.5,"40,947",31,,
LEGISLATIVE ELECTION Senate,NORD EST,AUGUST AND OCTOBER 2015,Chena Pierre Martial,Fanmi Lavalas,"12,604",11.6,"27,059",20.5,,
LEGISLATIVE ELECTION Senate,NORD EST,AUGUST AND OCTOBER 2015,Renan Etienne,APLA,"6,826",6.3,"11,287",8.6,,
LEGISLATIVE ELECTION Senate,NORD EST,AUGUST AND OCTOBER 2015,Renord Joseph,Verite,"6,449",5.9,,,,
LEGISLATIVE ELECTION Senate,NORD EST,AUGUST AND OCTOBER 2015,Bilgot Colas,OPL,"5,788",5.3,,,,
LEGISLATIVE ELECTION Senate,NORD EST,AUGUST AND OCTOBER 2015,11 others,,,,,,,
LEGISLATIVE ELECTION Senate,NORD EST,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION Senate,NORD OUEST,AUGUST AND OCTOBER 2015,EVALLIERE BEAUPLAN,Pont,"25,774",22.1,"47,754",36.5,,
LEGISLATIVE ELECTION Senate,NORD OUEST,AUGUST AND OCTOBER 2015,ONONDIEU LOUIS,Kid,"21,535",18.5,"49,273",37.7,,
LEGISLATIVE ELECTION Senate,NORD OUEST,AUGUST AND OCTOBER 2015,Johnson Dieujuste,Pitit Dessalines,"7,030",6,"20,861",16,,
LEGISLATIVE ELECTION Senate,NORD OUEST,AUGUST AND OCTOBER 2015,Jean-Gary Sanon,PPFF,"5,638",4.8,"12,068",9.2,,
LEGISLATIVE ELECTION Senate,NORD OUEST,AUGUST AND OCTOBER 2015,22 others,,,,,,,
LEGISLATIVE ELECTION Senate,NORD OUEST,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION Senate,OUEST,AUGUST AND OCTOBER 2015,JEAN RENEL SENATUS,Lide,"101,884",27.6,ELECTED,,,
LEGISLATIVE ELECTION Senate,OUEST,AUGUST AND OCTOBER 2015,ANTONIO CHERAMY,Verite,"57,881",15.7,"297,260",64.4,,
LEGISLATIVE ELECTION Senate,OUEST,AUGUST AND OCTOBER 2015,Alix Didier Fils-Aime,Verite,"24,057",6.5,"147,548",32,,
LEGISLATIVE ELECTION Senate,OUEST,AUGUST AND OCTOBER 2015,Jean Myrtho Muraille,Pitit Dessalines,"21,605",5.9,,,,
LEGISLATIVE ELECTION Senate,OUEST,AUGUST AND OCTOBER 2015,Jean Tholbert Alexis,Pont,"18,476",5,,,,
LEGISLATIVE ELECTION Senate,OUEST,AUGUST AND OCTOBER 2015,35 others,,,,,,,
LEGISLATIVE ELECTION Senate,OUEST,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION Senate,SUD,AUGUST AND OCTOBER 2015,RICHARD LENINE HERVE FOURCAND,PHTK,"22,822",13.1,"57,849",27.5,,
LEGISLATIVE ELECTION Senate,SUD,AUGUST AND OCTOBER 2015,JEAN-MARIE JUNIOR SALOMON,OPL,"19,613",11.3,"59,580",28.3,,
LEGISLATIVE ELECTION Senate,SUD,AUGUST AND OCTOBER 2015,Won Buissereth,Verite,"19,124",11,"47,283",22.5,,
LEGISLATIVE ELECTION Senate,SUD,AUGUST AND OCTOBER 2015,Pierre Franky Exius,Fanmi Lavalas,"15,758",9.1,"44,276",21.1,,
LEGISLATIVE ELECTION Senate,SUD,AUGUST AND OCTOBER 2015,Pierre Franqois Sildor,Bouclier,"10,981",6.3,,,,
LEGISLATIVE ELECTION Senate,SUD,AUGUST AND OCTOBER 2015,Pierre Flaurus Patrix Severe,Verite,"9,552",5.5,,,,
LEGISLATIVE ELECTION Senate,SUD,AUGUST AND OCTOBER 2015,Kenol Mathieu,Veye Yo,"9,392",5.4,,,,
LEGISLATIVE ELECTION Senate,SUD,AUGUST AND OCTOBER 2015,Louis Paul Raphael,Fanmi Lavalas,"8,639",5,,,,
LEGISLATIVE ELECTION Senate,SUD,AUGUST AND OCTOBER 2015,18 others,,,,,,,
LEGISLATIVE ELECTION Senate,SUD,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION Senate,SUD EST,AUGUST AND OCTOBER 2015,Joseph Lambert,PHTK,"28,878",21.1,"43,111",24.2,,
LEGISLATIVE ELECTION Senate,SUD EST,AUGUST AND OCTOBER 2015,DIEUPIE CHERUBIN,Kid,"24,779",18.1,"51,251",28.8,,
LEGISLATIVE ELECTION Senate,SUD EST,AUGUST AND OCTOBER 2015,Wencesclass Lambert,PHTK,"23,196",16.9,"32,623",18.3,,
LEGISLATIVE ELECTION Senate,SUD EST,AUGUST AND OCTOBER 2015,RICARD PIERRE,Pitit Dessalines,"13,630",10,"50,437",28.3,,
LEGISLATIVE ELECTION Senate,SUD EST,AUGUST AND OCTOBER 2015,Marc-Elder Charles,Renmen Ayiti,"7,663",5.6,,,,
LEGISLATIVE ELECTION Senate,SUD EST,AUGUST AND OCTOBER 2015,Hebert Lahatte,Respe,"7,522",5.5,,,,
LEGISLATIVE ELECTION Senate,SUD EST,AUGUST AND OCTOBER 2015,Miralda Jameau,Verite,"7,440",5.4,,,,
LEGISLATIVE ELECTION Senate,SUD EST,AUGUST AND OCTOBER 2015,8 others,,,,,,,
LEGISLATIVE ELECTION Senate,SUD EST,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION Senate,SUD EST,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION Senate,SUD EST,AUGUST AND OCTOBER 2015,,,,,,,Chamber of Deputies election,http://psephos.adam-carr.net/countries/h/haiti/haiti20153.txt
LEGISLATIVE ELECTION Senate,SUD EST,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,CHAMBER OF DEPUTIES,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,CHAMBER OF DEPUTIES,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,DEPARTMENT OF ARTIBONITE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,DEPARTMENT OF ARTIBONITE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,DESDUNES,AUGUST AND OCTOBER 2015,Beaudelaire Noel Saint,OPL,"2,692",39.6,,,,
LEGISLATIVE ELECTION,DESDUNES,AUGUST AND OCTOBER 2015,Isaac Ceus,AAA,"2,178",32,,,,
LEGISLATIVE ELECTION,DESDUNES,AUGUST AND OCTOBER 2015,Daricot Odige,Fanmi L,790,11.6,,,,
LEGISLATIVE ELECTION,DESDUNES,AUGUST AND OCTOBER 2015,Fedelin Pierre,Bouclier,706,10.4,,,,
LEGISLATIVE ELECTION,DESDUNES,AUGUST AND OCTOBER 2015,2 others,,,,,,,
LEGISLATIVE ELECTION,DESDUNES,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,DESSALINES,AUGUST AND OCTOBER 2015,GARCIA DELVA,PHTK,"4,925",61.1,,,,
LEGISLATIVE ELECTION,DESSALINES,AUGUST AND OCTOBER 2015,Hyppolite Vixama,KID,"1,574",19.5,,,,
LEGISLATIVE ELECTION,DESSALINES,AUGUST AND OCTOBER 2015,Marc-Elie Jean,PLK,426,5.3,,,,
LEGISLATIVE ELECTION,DESSALINES,AUGUST AND OCTOBER 2015,5 others,,,,,,,
LEGISLATIVE ELECTION,DESSALINES,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,ENNERY,AUGUST AND OCTOBER 2015,CHOLZER CHANCY,AAA,"2,654",67,,,,
LEGISLATIVE ELECTION,ENNERY,AUGUST AND OCTOBER 2015,Dieusibon Fils-Aime,OPL,"1,283",32.4,,,,
LEGISLATIVE ELECTION,ENNERY,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,GONAIVES,AUGUST AND OCTOBER 2015,Jacob Latortue,AAA,"4,873",21.3,"15,132",49,,
LEGISLATIVE ELECTION,GONAIVES,AUGUST AND OCTOBER 2015,NETLANDE PIERRE DERIUS,KID,"1,754",7.7,"15,222",49.3,,
LEGISLATIVE ELECTION,GONAIVES,AUGUST AND OCTOBER 2015,Guibert Etienne,Bouclier,"1,735",7.6,,,,
LEGISLATIVE ELECTION,GONAIVES,AUGUST AND OCTOBER 2015,ArsÃ¨ne Dieujuste,Mochrenha,"1,677",7.3,,,,
LEGISLATIVE ELECTION,GONAIVES,AUGUST AND OCTOBER 2015,Renaud Gene,Verite,"1,607",7,,,,
LEGISLATIVE ELECTION,GONAIVES,AUGUST AND OCTOBER 2015,Dimilsaint Mondelus,Kontrapepla,"1,493",6.5,,,,
LEGISLATIVE ELECTION,GONAIVES,AUGUST AND OCTOBER 2015,18 others,,,,,,,
LEGISLATIVE ELECTION,GONAIVES,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,GRANDE-SALINE,AUGUST AND OCTOBER 2015,HUBERT DIEU ALSACE,Bouclier,"1,686",47.4,,,,
LEGISLATIVE ELECTION,GRANDE-SALINE,AUGUST AND OCTOBER 2015,Danack Desormes,OPL,759,21.3,,,,
LEGISLATIVE ELECTION,GRANDE-SALINE,AUGUST AND OCTOBER 2015,Pitherson Clerzius,LAPEH,372,10.5,,,,
LEGISLATIVE ELECTION,GRANDE-SALINE,AUGUST AND OCTOBER 2015,Vodray Louis,Pitit Dess,307,8.6,,,,
LEGISLATIVE ELECTION,GRANDE-SALINE,AUGUST AND OCTOBER 2015,Figaro Desir,Fanmi L,192,5.4,,,,
LEGISLATIVE ELECTION,GRANDE-SALINE,AUGUST AND OCTOBER 2015,3 others,,,,,,,
LEGISLATIVE ELECTION,GRANDE-SALINE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,GROS-MORNE,AUGUST AND OCTOBER 2015,FRITZ CHERY,AAA,"6,693",48.6,,,,
LEGISLATIVE ELECTION,GROS-MORNE,AUGUST AND OCTOBER 2015,Richardson Etienne,OPL,"2,207",15.4,,,,
LEGISLATIVE ELECTION,GROS-MORNE,AUGUST AND OCTOBER 2015,Rosner Neptune,Verite,"1,867",13,,,,
LEGISLATIVE ELECTION,GROS-MORNE,AUGUST AND OCTOBER 2015,Ceremy Senor,PLK,"1,221",8.5,,,,
LEGISLATIVE ELECTION,GROS-MORNE,AUGUST AND OCTOBER 2015,5 others,,,,,,,
LEGISLATIVE ELECTION,GROS-MORNE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,LA CHAPELLE,AUGUST AND OCTOBER 2015,HERMANO EXINORD,Inite Patr,"1,878",42.1,"3,843",56.7,,
LEGISLATIVE ELECTION,LA CHAPELLE,AUGUST AND OCTOBER 2015,Fanel Salomon,AAA,"1,209",27.1,"2,799",42,,
LEGISLATIVE ELECTION,LA CHAPELLE,AUGUST AND OCTOBER 2015,Pierre Alix Macajoux,PKTK,623,14,,,,
LEGISLATIVE ELECTION,LA CHAPELLE,AUGUST AND OCTOBER 2015,Antoine Estiverne,Fusion,374,8.4,,,,
LEGISLATIVE ELECTION,LA CHAPELLE,AUGUST AND OCTOBER 2015,Victor Charidieu,Bouclier,233,5.2,,,,
LEGISLATIVE ELECTION,LA CHAPELLE,AUGUST AND OCTOBER 2015,3 others,,,,,,,
LEGISLATIVE ELECTION,LA CHAPELLE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,L'ANSE ROUGE,AUGUST AND OCTOBER 2015,EDOUANEL CHERY,AAA,"1,494",21.7,"4,053",52.2,,
LEGISLATIVE ELECTION,L'ANSE ROUGE,AUGUST AND OCTOBER 2015,Ronald Ledix,Bouclier,"1,091",15.9,"3,681",47.3,,
LEGISLATIVE ELECTION,L'ANSE ROUGE,AUGUST AND OCTOBER 2015,Genier Gedeon,KID,988,14.4,,,,
LEGISLATIVE ELECTION,L'ANSE ROUGE,AUGUST AND OCTOBER 2015,Fils Brunel J Metayer,PHTK,920,13.4,,,,
LEGISLATIVE ELECTION,L'ANSE ROUGE,AUGUST AND OCTOBER 2015,Petion Dumel,Verite,474,6.9,,,,
LEGISLATIVE ELECTION,L'ANSE ROUGE,AUGUST AND OCTOBER 2015,Delicier Geffrard,Renmen Ayiti,348,5.1,,,,
LEGISLATIVE ELECTION,L'ANSE ROUGE,AUGUST AND OCTOBER 2015,9 others,,,,,,,
LEGISLATIVE ELECTION,L'ANSE ROUGE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,L'ESTERE,AUGUST AND OCTOBER 2015,REYNALD EXANTUS,OPL,"1,455",23.6,"4,303",56.6,,
LEGISLATIVE ELECTION,L'ESTERE,AUGUST AND OCTOBER 2015,Carlo Estard,AAA,922,15,"3,095",41.4,,
LEGISLATIVE ELECTION,L'ESTERE,AUGUST AND OCTOBER 2015,Lesly Alexandre,Verite,718,11.7,,,,
LEGISLATIVE ELECTION,L'ESTERE,AUGUST AND OCTOBER 2015,Watson Pasteur,Fanmi L,501,8.1,,,,
LEGISLATIVE ELECTION,L'ESTERE,AUGUST AND OCTOBER 2015,Michel Daniel Ulysse,Reparen,424,6.9,,,,
LEGISLATIVE ELECTION,L'ESTERE,AUGUST AND OCTOBER 2015,Jules Lyonel Anelus,APLA,388,6.3,,,,
LEGISLATIVE ELECTION,L'ESTERE,AUGUST AND OCTOBER 2015,Ricot Elie,Bouclier,357,5.8,,,,
LEGISLATIVE ELECTION,L'ESTERE,AUGUST AND OCTOBER 2015,Raphael Ernest,PHTK,345,5.6,,,,
LEGISLATIVE ELECTION,L'ESTERE,AUGUST AND OCTOBER 2015,11 others,,,,,,,
LEGISLATIVE ELECTION,L'ESTERE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,MARMELADE,AUGUST AND OCTOBER 2015,SALEM RAPHAEL,Verite,"1,835",31.8,"2,967",54.2,,
LEGISLATIVE ELECTION,MARMELADE,AUGUST AND OCTOBER 2015,Wilson Vilmar,Inite Patr,"1,287",22.3,"2,499",45.6,,
LEGISLATIVE ELECTION,MARMELADE,AUGUST AND OCTOBER 2015,Altes Destin,AAA,853,14.8,,,,
LEGISLATIVE ELECTION,MARMELADE,AUGUST AND OCTOBER 2015,Dejean Presnel Dorcely,Respe,438,7.6,,,,
LEGISLATIVE ELECTION,MARMELADE,AUGUST AND OCTOBER 2015,10 others,,,,,,,
LEGISLATIVE ELECTION,MARMELADE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,PETITE RIVIERE DE L'ARTIBONITE,AUGUST AND OCTOBER 2015,Prophane Victor,Bouclier,"3,599",18.6,,,,
LEGISLATIVE ELECTION,PETITE RIVIERE DE L'ARTIBONITE,AUGUST AND OCTOBER 2015,Louiner Fontil,AAA,"2,217",11.4,,,,
LEGISLATIVE ELECTION,PETITE RIVIERE DE L'ARTIBONITE,AUGUST AND OCTOBER 2015,Venex Cyrius,KID,"1,815",9.4,,,,
LEGISLATIVE ELECTION,PETITE RIVIERE DE L'ARTIBONITE,AUGUST AND OCTOBER 2015,Rilet Philistin,PPG18,"1,392",7.2,,,,
LEGISLATIVE ELECTION,PETITE RIVIERE DE L'ARTIBONITE,AUGUST AND OCTOBER 2015,James Wardens Archibald,LAPEH,"1,322",6.8,,,,
LEGISLATIVE ELECTION,PETITE RIVIERE DE L'ARTIBONITE,AUGUST AND OCTOBER 2015,Bobanes Datus,Reparen,"1,287",6.6,,,,
LEGISLATIVE ELECTION,PETITE RIVIERE DE L'ARTIBONITE,AUGUST AND OCTOBER 2015,Fauvert Fadael,Palmis,"1,166",6,,,,
LEGISLATIVE ELECTION,PETITE RIVIERE DE L'ARTIBONITE,AUGUST AND OCTOBER 2015,Wilson Rene,PHTK,"1,105",5.7,,,,
LEGISLATIVE ELECTION,PETITE RIVIERE DE L'ARTIBONITE,AUGUST AND OCTOBER 2015,19 others,,,,,,,
LEGISLATIVE ELECTION,PETITE RIVIERE DE L'ARTIBONITE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,SAINT MARC,AUGUST AND OCTOBER 2015,Samuel D'Haiti,KONA,"11,127",40.1,,,,
LEGISLATIVE ELECTION,SAINT MARC,AUGUST AND OCTOBER 2015,Jean-Hugues Narcisse,KID,"4,772",17.2,,,,
LEGISLATIVE ELECTION,SAINT MARC,AUGUST AND OCTOBER 2015,Altes Toussaint,Platfom P,"3,069",11.1,,,,
LEGISLATIVE ELECTION,SAINT MARC,AUGUST AND OCTOBER 2015,Laviguens Louis,Mochrenha,"2,508",9,,,,
LEGISLATIVE ELECTION,SAINT MARC,AUGUST AND OCTOBER 2015,Jean Rony Duvelsaint,AAA,"1,534",5.5,,,,
LEGISLATIVE ELECTION,SAINT MARC,AUGUST AND OCTOBER 2015,17 others,,,,,,,
LEGISLATIVE ELECTION,SAINT MARC,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,SAINT-MICHEL,AUGUST AND OCTOBER 2015,Patrick Joseph,Pitit Dess,"2,782",21.6,"7,036",41.7,,
LEGISLATIVE ELECTION,SAINT-MICHEL,AUGUST AND OCTOBER 2015,MYRIAM AMILCAR,Verite,"2,651",20.6,"9,757",57.8,,
LEGISLATIVE ELECTION,SAINT-MICHEL,AUGUST AND OCTOBER 2015,Helman Ceneus,KID,"1,924",14.9,,,,
LEGISLATIVE ELECTION,SAINT-MICHEL,AUGUST AND OCTOBER 2015,Ini Moise Elius,Unir-Ayiti,"1,390",10.8,,,,
LEGISLATIVE ELECTION,SAINT-MICHEL,AUGUST AND OCTOBER 2015,Gerilien Jean Louis,AAA,"1,276",9.9,,,,
LEGISLATIVE ELECTION,SAINT-MICHEL,AUGUST AND OCTOBER 2015,Michelet Brutus,PHTK,"1,049",8.1,,,,
LEGISLATIVE ELECTION,SAINT-MICHEL,AUGUST AND OCTOBER 2015,Verdieu Meltinord,Kontrapepla,765,5.9,,,,
LEGISLATIVE ELECTION,SAINT-MICHEL,AUGUST AND OCTOBER 2015,4 others,,,,,,,
LEGISLATIVE ELECTION,SAINT-MICHEL,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,TERRE-NEUVE,AUGUST AND OCTOBER 2015,DULAURIER JACQUES,AAA,"2,263",44.3,"3,660",55.5,,
LEGISLATIVE ELECTION,TERRE-NEUVE,AUGUST AND OCTOBER 2015,Jodson Leroy Rosemond,Bouclier,"1,486",29.1,"2,895",43.9,,
LEGISLATIVE ELECTION,TERRE-NEUVE,AUGUST AND OCTOBER 2015,Enock Delfils,Verite,"1,050",20.5,,,,
LEGISLATIVE ELECTION,TERRE-NEUVE,AUGUST AND OCTOBER 2015,Wilhem Alexandre,Pont,292,5.7,,,,
LEGISLATIVE ELECTION,TERRE-NEUVE,AUGUST AND OCTOBER 2015,1 other,,,,,,,
LEGISLATIVE ELECTION,TERRE-NEUVE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,VERRETTES,AUGUST AND OCTOBER 2015,Gerard Paul Lormeus,PLK,"4,934",25.6,,,,
LEGISLATIVE ELECTION,VERRETTES,AUGUST AND OCTOBER 2015,Josnem Laurent,Inite Patr,"4,904",25.4,,,,
LEGISLATIVE ELECTION,VERRETTES,AUGUST AND OCTOBER 2015,Junior Herve Pierre,AAA,"4,831",25,,,,
LEGISLATIVE ELECTION,VERRETTES,AUGUST AND OCTOBER 2015,Nobert Pierre Louis,Fanmi L,"1,979",10.3,,,,
LEGISLATIVE ELECTION,VERRETTES,AUGUST AND OCTOBER 2015,10 others,,,,,,,
LEGISLATIVE ELECTION,VERRETTES,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,DEPARTMENT OF CENTRE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,DEPARTMENT OF CENTRE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,BELLADERE,AUGUST AND OCTOBER 2015,Lutherking E Marcadieu,Verite,"3,602",32.2,"5,851",41.6,,
LEGISLATIVE ELECTION,BELLADERE,AUGUST AND OCTOBER 2015,GUERCHON GUERRARD,Fusion,"3,074",27.4,"8,179",58.2,,
LEGISLATIVE ELECTION,BELLADERE,AUGUST AND OCTOBER 2015,Amos Duboirant,Renmen Ayiti,"2,798",25,,,,
LEGISLATIVE ELECTION,BELLADERE,AUGUST AND OCTOBER 2015,Renald Luberice,PHTK,907,8.1,,,,
LEGISLATIVE ELECTION,BELLADERE,AUGUST AND OCTOBER 2015,4 others,,,,,,,
LEGISLATIVE ELECTION,BELLADERE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,BOUCAN CARRE,AUGUST AND OCTOBER 2015,Jude Jean,PHTK,"2,218",27.7,,,,
LEGISLATIVE ELECTION,BOUCAN CARRE,AUGUST AND OCTOBER 2015,Erinece Saint Jean,OPL,"1,917",23.9,,,,
LEGISLATIVE ELECTION,BOUCAN CARRE,AUGUST AND OCTOBER 2015,Odelince Pierre,Kontrapepla,957,11.9,,,,
LEGISLATIVE ELECTION,BOUCAN CARRE,AUGUST AND OCTOBER 2015,Charlemagne Michel,,540,6.7,,,,
LEGISLATIVE ELECTION,BOUCAN CARRE,AUGUST AND OCTOBER 2015,Michelet Simon,Fanmi L,385,4.8,,,,
LEGISLATIVE ELECTION,BOUCAN CARRE,AUGUST AND OCTOBER 2015,14 others,,,,,,,
LEGISLATIVE ELECTION,BOUCAN CARRE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,CERCA-CARVAJAL-QUARTIER DE LOS PALIS,AUGUST AND OCTOBER 2015,RODON BIEN-AIME,PHTK,"3,185",76.7,,,,
LEGISLATIVE ELECTION,CERCA-CARVAJAL-QUARTIER DE LOS PALIS,AUGUST AND OCTOBER 2015,Lérés Jean Baptiste,Respe,746,18,,,,
LEGISLATIVE ELECTION,CERCA-CARVAJAL-QUARTIER DE LOS PALIS,AUGUST AND OCTOBER 2015,3 others,,,,,,,
LEGISLATIVE ELECTION,CERCA-CARVAJAL-QUARTIER DE LOS PALIS,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,CERCA-LA-SOURCE,AUGUST AND OCTOBER 2015,RONY CELESTIN,PHTK,"5,027",64.8,,,,
LEGISLATIVE ELECTION,CERCA-LA-SOURCE,AUGUST AND OCTOBER 2015,Odrience Clement,Renmen Ayiti,642,8.3,,,,
LEGISLATIVE ELECTION,CERCA-LA-SOURCE,AUGUST AND OCTOBER 2015,Petrus Pierre,Verite,531,6.9,,,,
LEGISLATIVE ELECTION,CERCA-LA-SOURCE,AUGUST AND OCTOBER 2015,Max Millien,Bouclier,446,5.8,,,,
LEGISLATIVE ELECTION,CERCA-LA-SOURCE,AUGUST AND OCTOBER 2015,Jacques Cadeau,Fusion,439,5.7,,,,
LEGISLATIVE ELECTION,CERCA-LA-SOURCE,AUGUST AND OCTOBER 2015,5 others,,,,,,,
LEGISLATIVE ELECTION,CERCA-LA-SOURCE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,HINCHE,AUGUST AND OCTOBER 2015,FRED PITTON,KID,"3,550",20.9,"10,107",50.3,,
LEGISLATIVE ELECTION,HINCHE,AUGUST AND OCTOBER 2015,Vaniet Louis,Kontrapepla,"2,623",15.3,"9,839",48.9,,
LEGISLATIVE ELECTION,HINCHE,AUGUST AND OCTOBER 2015,Beckenbauer Renard,Bouclier,"2,145",12.6,,,,
LEGISLATIVE ELECTION,HINCHE,AUGUST AND OCTOBER 2015,Paules Noel,Fusion,"2,026",11.9,,,,
LEGISLATIVE ELECTION,HINCHE,AUGUST AND OCTOBER 2015,Esdras Veard,OPL,"1,206",7.1,,,,
LEGISLATIVE ELECTION,HINCHE,AUGUST AND OCTOBER 2015,Yves Thomas Gilles,PHTK,"1,097",6.4,,,,
LEGISLATIVE ELECTION,HINCHE,AUGUST AND OCTOBER 2015,Acfenes Antoine,Pitit Dess,960,5.6,,,,
LEGISLATIVE ELECTION,HINCHE,AUGUST AND OCTOBER 2015,10 others,,,,,,,
LEGISLATIVE ELECTION,HINCHE,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,LASCAHOBAS,AUGUST AND OCTOBER 2015,GABRIEL LYONEL JEAN,Verite,"4,199",45.1,,,,
LEGISLATIVE ELECTION,LASCAHOBAS,AUGUST AND OCTOBER 2015,Markent'z Sigue,PHTK,"1,142",12.3,,,,
LEGISLATIVE ELECTION,LASCAHOBAS,AUGUST AND OCTOBER 2015,Nardy Carietane,Bouclier,"1,070",11.5,,,,
LEGISLATIVE ELECTION,LASCAHOBAS,AUGUST AND OCTOBER 2015,Victor Jean Mary,Renmen Ayiti,999,10.7,,,,
LEGISLATIVE ELECTION,LASCAHOBAS,AUGUST AND OCTOBER 2015,Rubens Saint Germain,Fusion,612,6.6,,,,
LEGISLATIVE ELECTION,LASCAHOBAS,AUGUST AND OCTOBER 2015,Walnes Pierre Louis,KID,487,5.2,,,,
LEGISLATIVE ELECTION,LASCAHOBAS,AUGUST AND OCTOBER 2015,6 others,,,,,,,
LEGISLATIVE ELECTION,LASCAHOBAS,AUGUST AND OCTOBER 2015,,,,,,,,
LEGISLATIVE ELECTION,MAISSADE,AUGUST AND OCTOBER 2015,LOUIS ROMEL BEAUGE,PHTK,"2,448",26.7,6882,55.6,,
LEGISLATIVE ELECTION,MAISSADE,AUGUST AND OCTOBER 2015,Denis Jean Baptiste,KID,"1,429",15.6,5484,44.3,,
LEGISLATIVE ELECTION,MAISSADE,AUGUST AND OCTOBER 2015,Josselin Joseph,Renmen Ayiti,"1,148",12.5,,,,
LEGISLATIVE ELECTION,MAISSADE,AUGUST AND OCTOBER 2015,Dechanel Nobert,OPL,"1,005",11,,,,
LEGISLATIVE ELECTION,MAISSADE,AUGUST AND OCTOBER 2015,Emmanuel Belimaire,Verite,897,9.8,,,,
